Using TensorFlow backend.
Building Model
Modeling Finished
2017-08-06 03:20:33.925231: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925258: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925264: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925269: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925274: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
('TIMESTEP', 20600, '/ EPSILON', 0.09931402000013237, '/ Loss ', 39.108067)
('TIMESTEP', 20700, '/ EPSILON', 0.09931069000013301, '/ Loss ', 39.432018)
('TIMESTEP', 20800, '/ EPSILON', 0.09930736000013365, '/ Loss ', 41.672897)
('TIMESTEP', 20900, '/ EPSILON', 0.0993040300001343, '/ Loss ', 35.865753)
('TIMESTEP', 21000, '/ EPSILON', 0.09930070000013494, '/ Loss ', 35.554134)
Model Saved
('TIMESTEP', 21100, '/ EPSILON', 0.09929737000013558, '/ Loss ', 38.04343)
('TIMESTEP', 21200, '/ EPSILON', 0.09929404000013622, '/ Loss ', 41.95599)
('TIMESTEP', 21300, '/ EPSILON', 0.09929071000013687, '/ Loss ', 29.656511)
('TIMESTEP', 21400, '/ EPSILON', 0.09928738000013751, '/ Loss ', 40.397823)
('TIMESTEP', 21500, '/ EPSILON', 0.09928405000013815, '/ Loss ', 40.192284)
('TIMESTEP', 21600, '/ EPSILON', 0.0992807200001388, '/ Loss ', 45.820377)
('TIMESTEP', 21700, '/ EPSILON', 0.09927739000013944, '/ Loss ', 38.742615)
('TIMESTEP', 21800, '/ EPSILON', 0.09927406000014008, '/ Loss ', 36.218014)
('TIMESTEP', 21900, '/ EPSILON', 0.09927073000014072, '/ Loss ', 39.608196)
('TIMESTEP', 22000, '/ EPSILON', 0.09926740000014136, '/ Loss ', 40.59877)
Model Saved
('TIMESTEP', 22100, '/ EPSILON', 0.09926407000014201, '/ Loss ', 39.940319)
('TIMESTEP', 22200, '/ EPSILON', 0.09926074000014265, '/ Loss ', 33.897083)
('TIMESTEP', 22300, '/ EPSILON', 0.09925741000014329, '/ Loss ', 42.403915)
('TIMESTEP', 22400, '/ EPSILON', 0.09925408000014393, '/ Loss ', 42.880268)
('TIMESTEP', 22500, '/ EPSILON', 0.09925075000014458, '/ Loss ', 53.739079)
